Precinct and Voting District Information,,,,,,,,,,,,,,,,,,1 (County Statistics),,,,,,Voting System Information,,,US Senate,,,,,,,US Congressional Districts 1 - 8,,,,,,MN State Senate Districts 1 - 67,,,,,,,MN State House Districts 1A - 67B,,,,,,,Governor and Lieutenant Governor,,,,,,,,Secretary of State,,,,,Attorney General,,,,State Auditor,,,,,ASSOCIATE JUSTICE-SUPREME CT 3,,,APPEALS 1,,APPEALS 5,,APPEALS 8,,APPEALS 9,,APPEALS 10,,APPEALS 15,,APPEALS 16,,,1ST DISTRICT COURT 1,,,1ST DISTRICT COURT 5,,,1ST DISTRICT COURT 28,,,1ST DISTRICT COURT 31,,,2ND DISTRICT COURT 21,,,4TH DISTRICT COURT 12,,,4TH DISTRICT COURT 46,,,4TH DISTRICT COURT 47,,,4TH DISTRICT COURT 53,,,4TH DISTRICT COURT 56,,,4TH DISTRICT COURT 58,,,4TH DISTRICT COURT 60,,,7TH DISTRICT COURT 17,,,9TH DISTRICT COURT 4,,,9TH DISTRICT COURT 12,,,10TH DISTRICT COURT 14,,
270070155,MINNIE TWP.,,07,02B,04,02,447,00,02,N,O,Minnie township,09,135,0155,04,270070155,15,0,0,8,0,8,1,Central Count,Model 150,0,1,3,0,2,0,0,0,0,1,4,0,0,0,0,1,3,0,0,0,0,0,1,3,0,0,0,0,1,0,4,0,0,0,0,0,1,0,4,0,1,1,4,0,0,1,0,4,0,2,2,0,3,0,4,0,4,0,4,0,4,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
270070160,MOOSE LAKE TWP.,,08,04A,01,01,032,01,00,N,O,Moose Lake township,09,140,0160,04,270070160,109,6,0,83,0,83,1,Central Count,Model 150,1,2,49,0,26,0,0,0,0,16,25,0,0,0,0,22,19,0,0,0,0,0,24,16,0,0,0,3,11,17,12,0,0,0,0,2,4,22,14,0,4,19,18,0,3,2,22,13,0,27,8,0,31,0,31,0,31,0,31,0,30,0,31,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,24,12,0,0,0,0
270070165,NEBISH TWP.,,07,02B,03,01,031,01,00,N,O,Nebish township,09,145,0165,04,270070165,161,10,0,134,0,134,1,Central Count,Model 150,0,1,63,0,59,0,0,0,0,21,51,0,0,0,0,31,47,0,0,0,0,0,29,45,0,0,0,2,10,28,40,0,0,0,0,0,2,29,46,0,2,25,48,0,1,3,26,42,0,32,12,0,40,0,40,0,41,0,40,0,42,0,40,0,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,0,35,16,0,0,0,0
270070170,NORTHERN TWP P 01,,08,04A,05,01,031,01,00,N,O,Northern township,09,150,0170,04,270070170,1875,217,1517,93,0,1610,2,Precinct Tabulator,Model 100,10,17,888,0,605,3,0,0,0,780,782,0,0,0,0,930,639,0,0,0,0,0,1080,497,0,0,3,39,124,854,574,1,2,1,1,45,48,910,560,0,53,785,725,0,48,93,818,580,0,988,258,1,1103,5,1094,5,1086,6,1077,3,1079,3,1072,3,435,717,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,576,6,986,222,1,0,0,0
270070172,NORTHERN TWP P 02,,07,04A,05,01,031,01,00,N,O,Northern township,09,150,0172,04,270070172,368,27,277,11,0,288,2,Precinct Tabulator,Model 100,1,2,143,0,122,1,0,0,0,98,179,0,0,0,0,142,138,0,0,0,0,0,177,104,0,0,0,5,21,130,126,2,0,1,0,3,11,142,122,0,5,132,141,0,9,16,130,119,0,183,43,0,203,4,205,3,199,3,199,2,202,1,197,4,70,142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,98,1,171,39,0,0,0,0
270070175,O'BRIEN TWP.,,07,02B,03,01,032,01,00,N,O,O'Brien township,09,155,0175,04,270070175,39,1,28,0,0,28,1,Central Count,Model 150,0,1,21,0,6,0,0,0,0,7,19,0,0,0,0,18,10,0,0,0,0,0,20,7,0,0,0,0,4,18,6,0,0,0,0,0,1,16,10,0,2,13,10,0,1,1,15,9,0,14,2,0,12,0,12,0,12,0,12,0,12,0,12,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,11,4,0,0,0,0
270070180,PONEMAH PREC,,07,02B,04,01,038,01,00,N,O,LOWER RED LAKE UNORG,09,127,0180,04,270070180,409,23,210,2,0,212,1,Central Count,Model 150,0,1,8,0,202,0,0,0,0,5,198,0,0,0,0,5,202,0,0,0,0,0,15,189,0,0,1,3,3,1,202,0,0,0,0,3,2,5,200,0,7,9,190,0,4,6,6,190,0,125,33,2,135,6,137,4,132,5,130,7,132,5,132,3,52,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,20,1,98,58,3,0,0,0
270070185,PORT HOPE TWP.,,08,02B,01,01,031,01,00,N,O,Port Hope township,09,160,0185,04,270070185,352,57,316,13,0,329,1,Central Count,Model 150,1,10,190,0,114,0,0,0,0,159,150,0,0,0,0,171,150,0,0,0,0,0,185,127,0,0,0,12,33,171,110,1,1,0,0,11,12,186,110,0,16,161,136,0,17,23,159,110,0,185,70,0,215,0,207,1,206,0,204,0,204,0,204,0,79,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,110,0,182,66,0,0,0,0
270070190,QUIRING TWP.,,07,02B,04,01,032,01,00,N,O,Quiring township,09,165,0190,04,270070190,51,5,39,1,0,40,1,Central Count,Model 150,0,1,24,0,14,0,0,0,0,15,24,0,0,0,0,18,21,0,0,0,0,0,21,17,0,0,0,0,5,18,16,0,0,0,0,1,2,23,12,0,1,13,25,0,0,6,14,17,0,20,8,0,22,0,23,0,22,0,23,0,20,0,22,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,13,12,0,0,0,0
270070195,RED LAKE AGENCY PREC,,07,02B,04,01,038,01,00,N,O,LOWER RED LAKE UNORG,09,127,0195,04,270070195,780,104,467,7,0,474,1,Central Count,Model 150,2,2,13,0,455,1,0,0,0,23,432,0,1,0,0,17,442,0,0,1,0,0,40,414,0,0,1,6,25,19,401,2,0,2,0,7,6,17,428,1,9,17,426,0,12,16,8,417,2,235,108,5,299,6,310,5,305,4,303,6,303,6,300,5,102,216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,65,1,216,122,1,0,0,0
270070200,REDBY PREC,,07,02B,04,01,038,01,00,N,O,LOWER RED LAKE UNORG,09,127,0200,04,270070200,557,56,330,3,0,333,1,Central Count,Model 150,1,2,14,0,315,0,0,0,0,7,318,0,0,0,0,11,317,0,0,0,0,0,17,308,0,0,0,3,9,9,301,0,1,2,0,9,6,14,299,0,7,17,301,0,13,5,10,296,1,202,54,3,226,4,222,5,218,4,217,4,218,4,215,4,57,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,35,2,167,75,2,0,0,0
270070202,LITTLE ROCK,,07,02B,04,01,038,01,00,N,O,LOWER RED LAKE UNORG,09,127,0202,04,270070202,313,37,181,0,0,181,1,Central Count,Model 150,0,2,8,0,169,1,0,0,0,10,159,0,1,0,0,8,166,0,0,0,0,0,17,152,0,0,0,3,3,4,161,1,0,1,0,5,3,6,155,0,3,9,160,0,6,3,5,155,0,114,26,0,133,0,132,1,127,2,125,1,127,0,123,1,49,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,21,0,91,44,0,0,0,0
270070205,ROOSEVELT TWP.,,07,02B,03,01,031,01,00,N,O,Roosevelt township,09,170,0205,04,270070205,140,11,108,3,0,111,1,Central Count,Model 150,2,3,29,0,75,0,0,0,0,16,91,0,1,0,0,18,89,0,0,0,0,0,29,79,0,0,0,5,15,25,63,0,0,1,0,7,4,29,68,0,7,19,83,0,7,10,18,72,0,56,26,1,68,1,70,1,67,1,69,1,68,1,68,1,22,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,36,1,50,31,1,0,0,0
270070210,SHOOKS TWP.,,07,02B,04,01,032,01,00,N,O,Shooks township,09,175,0210,04,270070210,112,6,77,5,0,82,1,Central Count,Model 150,0,2,58,0,21,0,0,0,0,40,40,0,0,0,0,46,34,0,0,0,0,0,52,27,0,0,0,0,6,54,22,0,0,0,0,0,5,47,28,0,6,48,25,0,2,7,44,24,0,33,22,1,43,1,44,1,42,1,41,1,43,1,42,1,22,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0,23,30,0,0,0,0
270070215,SHOTLEY TWP.,,07,02B,04,01,036,01,00,N,O,Shotley township,09,180,0215,04,270070215,41,2,0,37,0,37,1,Central Count,Model 150,0,5,16,0,13,0,0,0,0,4,13,0,0,0,0,8,11,0,0,0,0,0,5,10,0,0,0,0,10,6,5,0,0,0,0,1,5,7,7,0,5,4,12,0,1,4,6,7,0,5,7,0,10,0,10,0,11,0,11,0,10,0,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,7,5,0,0,0,0
270070220,SOLWAY,,07,02B,03,01,031,01,00,N,O,Solway city,09,185,0220,04,270070220,44,6,41,1,0,42,1,Central Count,Model 150,0,4,24,0,14,0,0,0,0,20,21,0,0,0,0,24,16,0,0,0,0,0,25,16,0,0,0,1,4,26,9,0,1,0,0,0,3,26,12,0,2,21,18,0,0,4,22,15,0,16,12,0,26,0,27,0,26,0,25,1,26,0,26,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,20,9,0,0,0,0
270070225,SPRUCE GROVE TWP.,,07,02B,04,02,447,00,02,N,O,Spruce Grove township,09,190,0225,04,270070225,37,1,31,0,0,31,1,Central Count,Model 150,1,1,18,0,8,0,0,0,0,4,4,0,0,0,0,4,5,0,0,0,0,0,8,2,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,0,8,6,0,0,0,5,4,0,4,4,1,4,0,3,0,4,0,4,0,4,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,1,0,0,0,0
270070230,STEENERSON TWP.,,07,02B,04,02,447,00,02,N,O,Steenerson township,09,195,0230,04,270070230,25,1,18,0,0,18,1,Central Count,Model 150,0,1,8,0,4,0,0,0,0,0,10,0,0,0,0,2,8,0,0,0,0,0,3,7,0,0,0,0,2,6,4,0,0,0,0,0,3,4,4,0,3,2,5,0,0,2,1,7,0,6,3,0,8,0,7,0,7,0,9,0,8,0,9,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,2,0,0,0,0
270070235,SUGAR BUSH TWP.,,08,04A,01,01,031,01,00,N,O,Sugar Bush township,09,200,0235,04,270070235,122,20,91,7,0,98,1,Central Count,Model 150,1,1,68,0,28,0,0,0,0,58,36,0,0,0,0,62,33,0,0,0,0,0,77,18,0,0,0,7,14,62,13,1,0,0,0,9,7,60,19,0,5,53,36,0,7,6,56,26,0,40,28,0,58,0,56,0,56,0,55,0,55,0,55,0,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,0,43,24,0,0,0,0
270070240,SUMMIT TWP.,,08,02B,01,01,032,01,00,N,O,Summit township,09,205,0240,04,270070240,170,9,135,6,0,141,1,Central Count,Model 150,1,0,116,0,24,0,0,0,0,98,33,0,1,0,0,100,37,0,0,0,0,0,114,21,0,0,0,1,14,107,17,0,2,0,0,3,5,103,24,0,2,103,29,0,2,7,101,24,0,69,23,0,79,0,81,0,78,1,82,0,81,0,83,0,32,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,0,65,24,0,0,0,0
270070245,TAYLOR TWP.,,08,02B,01,01,032,01,00,N,O,Taylor township,09,208,0245,04,270070245,70,1,53,0,0,53,1,Central Count,Model 150,0,5,31,0,15,0,0,0,0,13,22,0,0,0,0,17,18,0,0,0,0,0,14,21,0,0,0,1,5,12,18,0,0,0,0,1,3,11,21,0,3,10,22,0,1,4,9,22,0,19,13,0,28,0,27,0,28,0,27,0,29,0,27,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,21,11,0,0,0,0
270070250,TEN LAKE TWP.,,08,04A,01,01,031,01,00,N,O,Ten Lake township,09,210,0250,04,270070250,437,59,310,30,0,340,1,Central Count,Model 150,1,3,135,0,196,0,0,0,0,103,224,0,0,0,0,125,206,0,0,0,0,0,140,192,0,0,0,13,17,113,190,0,0,0,0,10,7,124,189,0,3,107,214,0,13,8,110,188,0,165,70,1,200,0,202,0,200,0,196,0,197,0,196,1,94,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,99,0,167,63,0,0,0,0
270070255,TENSTRIKE,,08,02B,01,01,032,01,00,N,O,Tenstrike city,09,215,0255,04,270070255,82,5,64,0,0,64,1,Central Count,Model 150,0,0,43,0,17,0,0,0,0,25,10,0,0,0,0,27,10,0,0,0,0,0,27,8,0,0,0,0,2,24,11,0,0,0,0,0,0,25,8,0,0,30,13,0,0,1,23,8,0,27,5,0,24,0,25,0,25,0,25,0,22,0,23,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,22,6,0,0,0,0
270070260,TURTLE LAKE TWP.,,07,02B,05,01,031,01,00,N,O,Turtle Lake township,09,220,0260,04,270070260,730,79,579,65,0,644,1,Central Count,Model 150,1,12,376,0,239,2,0,0,0,277,352,0,2,0,0,324,301,0,0,1,0,0,359,263,0,0,1,13,61,319,242,0,2,0,0,18,23,357,231,0,21,323,287,0,21,28,320,252,0,369,116,1,439,2,442,2,435,3,433,2,434,2,432,2,121,350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,234,2,376,116,2,0,0,0
270070265,TURTLE RIVER,,08,02B,01,01,031,01,00,N,O,Turtle River city,09,224,0265,04,270070265,66,3,50,0,0,50,1,Central Count,Model 150,0,3,21,0,26,0,0,0,0,15,31,0,1,0,0,15,35,0,0,0,0,0,22,26,0,0,0,0,5,19,24,0,2,0,0,3,3,19,23,0,2,18,30,0,2,7,16,24,0,21,17,0,32,1,32,1,32,1,32,1,32,1,32,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,29,9,0,0,0,0
270070270,TURTLE RIVER TWP.,,08,04A,01,01,031,01,00,N,O,Turtle River township,09,225,0270,04,270070270,624,72,496,23,0,519,1,Central Count,Model 150,4,3,247,0,264,0,0,0,0,192,312,0,1,0,0,256,254,0,0,0,0,0,287,220,0,0,1,27,51,210,225,0,2,1,0,33,17,232,226,0,20,211,277,1,38,29,201,232,0,318,92,0,366,2,369,1,365,1,361,2,363,2,361,1,159,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,170,0,311,107,0,0,0,0
270070275,UNORG. DIST. #1,,07,02B,04,02,447,00,02,N,O,NORTH BELTRAMI UNORG,09,148,0275,04,270070275,26,0,21,0,0,21,1,Central Count,Model 150,0,1,10,0,5,0,0,0,0,3,5,0,0,0,0,4,4,0,0,0,0,0,4,4,0,0,0,0,1,5,3,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,4,4,0,4,3,0,5,0,5,0,4,0,4,0,4,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,0,0,0,0
270070280,UNORG. DIST. #2,,07,02B,04,01,036,01,00,N,O,SHOTLEY BROOK UNORG,09,181,0280,04,270070280,20,0,0,17,0,17,1,Central Count,Model 150,0,0,7,0,10,0,0,0,0,2,13,0,0,0,0,2,12,0,0,0,0,0,5,9,0,0,0,0,1,3,11,0,0,0,0,0,0,3,11,0,1,1,12,0,1,1,2,11,0,9,2,0,10,0,10,0,10,0,9,0,10,0,10,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,7,5,0,0,0,0
270070285,UNORG. DIST. #3,,08,04A,01,01,032,01,00,N,O,BROOK LAKE UNORG,09,038,0285,04,270070285,101,5,0,74,0,74,1,Central Count,Model 150,1,2,36,0,30,0,0,0,0,16,33,0,0,0,0,18,31,0,0,0,0,0,23,26,0,0,0,2,6,18,23,0,0,0,0,2,4,17,26,0,4,17,28,0,1,3,16,29,0,35,10,0,35,0,33,0,34,0,33,0,34,0,34,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,0,33,9,0,0,0,0
270070290,WASKISH TWP.,,07,02B,04,01,036,01,00,N,O,Waskish township,09,233,0290,04,270070290,76,3,58,2,0,60,1,Central Count,Model 150,1,0,36,0,23,0,0,0,0,19,39,0,0,0,0,14,46,0,0,0,0,0,31,27,0,0,0,1,3,30,25,0,0,0,0,3,2,33,17,0,2,29,26,1,4,1,33,19,0,38,9,0,44,0,44,0,44,0,44,0,44,0,44,0,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,0,31,17,0,0,0,0
270070295,WILTON,,07,02B,03,01,031,01,00,N,O,Wilton city,09,235,0295,04,270070295,82,10,60,0,0,60,1,Central Count,Model 150,0,1,35,0,21,0,0,0,0,18,23,0,0,0,0,16,26,0,0,0,0,0,19,21,0,0,0,1,5,16,21,0,0,0,0,0,2,24,16,0,3,20,18,0,1,7,19,13,0,25,7,0,29,0,28,0,25,0,25,0,28,0,27,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,25,11,0,0,0,0
270070300,WOODROW TWP.,,07,02B,04,01,036,01,00,N,O,Woodrow township,09,240,0300,04,270070300,50,0,0,45,0,45,1,Central Count,Model 150,0,0,23,0,17,0,0,0,0,6,25,0,0,0,0,6,25,0,0,0,0,0,10,18,0,0,0,0,4,7,18,0,0,0,0,0,2,16,13,0,2,11,18,0,0,3,9,17,0,14,6,0,13,0,13,0,12,0,12,0,14,0,13,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,15,3,0,0,0,0
270090005,ALBERTA TWP,,06,16A,02,00,051,00,00,N,O,Alberta township,07,005,0005,05,270090005,422,31,317,9,0,326,3,Hand Count,Not Applicable,1,9,155,0,152,0,0,0,32,147,107,0,0,0,0,138,151,0,0,2,16,0,110,155,0,0,2,6,39,150,101,0,0,0,0,4,18,146,107,1,13,103,162,0,7,21,98,148,2,126,71,1,178,1,173,1,175,1,170,2,170,2,172,1,94,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,69,0,0,0,0,0,0,0,0,0,0
270090010,FOLEY,,06,16A,01,00,051,00,00,N,O,Foley city,07,010,0010,05,270090010,983,193,781,28,0,809,2,Precinct Tabulator,Optech IIIP,4,14,418,0,352,0,3,0,74,404,297,0,0,0,0,412,353,0,0,0,63,0,309,396,0,0,0,21,95,403,270,0,5,1,1,10,22,414,328,0,25,320,416,1,31,56,326,337,0,412,218,0,596,1,596,0,596,0,600,1,584,0,598,0,188,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,242,0,0,0,0,0,0,0,0,0,0
270090015,GILMAN,,06,16A,01,00,051,00,00,N,O,Gilman city,07,013,0015,05,270090015,145,8,118,0,0,118,3,Hand Count,Not Applicable,1,9,50,0,37,0,16,0,21,51,41,0,0,0,0,50,64,0,0,0,7,0,34,67,0,0,0,8,19,43,41,0,1,0,0,1,10,54,48,0,11,38,61,0,7,12,38,52,0,58,28,0,73,0,73,0,71,0,70,0,69,0,74,0,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,31,0,0,0,0,0,0,0,0,0,0
270090020,GILMANTON TWP,,06,16A,01,00,051,00,00,N,O,Gilmanton township,07,015,0020,05,270090020,414,52,345,12,0,357,2,Precinct Tabulator,Optech IIIP,1,18,190,0,137,0,2,0,29,187,116,0,0,0,0,191,143,0,0,0,31,0,159,144,0,0,0,5,48,187,104,0,2,0,0,2,12,206,123,0,18,145,171,0,9,27,149,139,1,177,79,0,227,0,227,0,228,0,229,0,230,1,231,0,97,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,79,0,0,0,0,0,0,0,0,0,0
270090025,GLENDORADO TWP,,06,16A,01,00,051,00,00,N,O,Glendorado township,07,020,0025,05,270090025,445,32,345,15,0,360,1,Central Count,Optech IIIP,1,10,203,0,127,1,0,0,24,201,114,0,0,0,0,230,114,0,0,0,18,0,182,141,0,0,0,6,36,204,103,0,1,0,0,5,6,219,116,0,14,163,164,1,9,30,172,130,0,155,118,0,254,1,254,1,249,1,253,1,248,2,249,1,106,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,117,0,0,0,0,0,0,0,0,0,0
270090030,GRAHAM TWP,,06,14A,02,00,047,00,00,N,O,Graham township,07,025,0030,05,270090030,296,31,235,4,0,239,3,Hand Count,Not Applicable,2,7,154,0,73,0,2,0,29,138,56,0,0,0,0,145,81,0,0,0,0,16,108,104,0,0,0,1,57,123,48,1,1,1,0,0,10,153,63,0,12,107,103,0,3,30,98,83,0,115,52,0,156,0,158,0,155,0,154,0,154,0,152,0,92,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,60,0,0,0,0,0,0,0,0,0,0
270090035,GRANITE LEDGE TWP,,06,16A,01,00,051,00,00,N,O,Granite Ledge township,07,030,0035,05,270090035,379,50,308,3,0,311,3,Hand Count,Not Applicable,4,11,200,0,96,0,0,0,25,179,96,0,0,0,0,198,103,0,0,0,15,0,165,122,0,0,0,2,39,190,71,0,2,0,0,3,15,170,119,0,17,143,140,0,7,28,161,108,0,149,95,0,226,0,227,0,230,0,231,0,227,0,229,0,151,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,98,0,0,0,0,0,0,0,0,0,0
270090040,LANGOLA TWP,,06,14A,02,00,047,00,00,N,O,Langola township,07,035,0040,05,270090040,534,45,398,5,0,403,1,Central Count,Optech IIIP,3,13,237,0,146,2,0,0,40,217,136,0,1,0,0,233,159,0,0,0,0,17,224,153,0,0,2,9,61,216,111,0,4,0,0,3,20,223,147,0,20,173,201,0,9,41,180,159,0,231,112,0,315,1,311,2,313,2,318,2,312,1,311,2,153,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,113,0,0,0,0,0,0,0,0,0,0
270090045,MAYHEW LAKE TWP,,06,14A,02,00,047,00,00,N,O,Mayhew Lake township,07,040,0045,05,270090045,452,50,350,4,0,354,2,Precinct Tabulator,Optech IIIP,3,16,190,0,137,1,2,0,44,179,113,0,0,0,0,194,143,0,0,0,0,24,132,185,0,0,0,12,76,166,90,0,0,1,1,5,14,194,121,1,17,121,194,1,21,24,130,148,0,169,98,0,244,0,246,0,244,0,248,0,242,2,243,1,85,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,113,1,0,0,0,0,0,0,0,0,0
270090050,MAYWOOD TWP,,06,16A,01,00,051,00,00,N,O,Maywood township,07,045,0050,05,270090050,480,52,387,12,0,399,3,Hand Count,Not Applicable,1,14,217,0,164,1,0,0,45,203,137,0,0,0,0,223,164,0,0,1,32,0,184,166,0,0,2,7,68,196,116,2,2,0,0,8,16,210,155,0,25,146,215,0,13,35,161,177,1,209,116,0,307,0,305,0,302,0,307,0,303,0,305,0,141,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,120,0,0,0,0,0,0,0,0,0,0
270090055,MINDEN TWP -P-1,,06,14A,05,00,047,00,00,N,O,Minden township,07,050,0055,05,270090055,1037,79,799,19,0,818,2,Precinct Tabulator,Optech IIIP,1,24,473,0,313,3,0,0,78,423,287,0,0,0,0,459,331,0,0,0,0,44,412,340,0,0,0,18,137,400,244,1,2,4,0,13,32,475,274,1,38,320,429,0,23,68,378,305,0,426,205,1,588,2,589,3,586,3,597,2,584,3,588,2,276,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,211,2,0,0,0,0,0,0,0,0,0
